projectid,varname
86331357,2
86342295,1
86371426,12
86385061,7
86394931,8
86397346,2
86419580,2
86458556,9
86466873,1
86481604,8
86493143,3
86495042,1
86500486,2
86531565,1
86536347,1
86543799,12
86544787,13
86545167,22
86565359,4
86574107,2
86587889,7
86588011,8
86593244,10
86600045,2
86609336,1
86644921,1
86660351,1
86668814,1
86671949,21
86676263,5
86696567,3
86715690,5
86722506,5
86728033,1
86738339,12
86746526,1
86746528,2
86746555,2
86746565,1
86746609,1
86746656,1
86746795,2
86746861,1
86750225,1
86750276,1
86750302,2
86750357,1
86750361,1
86750396,1
86750520,7
86750523,1
86750684,1
86750699,3
86754273,2
86754275,3
86754293,1
86754303,2
86754317,2
86754326,2
86754501,1
86755610,2
86760150,1
86766559,3
86770001,4
86792565,5
86816535,2
86826259,9
86856418,6
86872352,30
86873305,4
86884016,1
86898287,3
86901243,1
86907177,272
86911381,4
86911902,4
86915276,25
86918051,2
86928870,3
86936925,2
86942274,1
86943461,2
86979845,3
86984378,2
86994476,2
87000421,2
87001363,2
87013712,1
87035855,272
87050713,1
87051051,2
87095232,1
87124964,5
87130234,1
87132748,1
87143169,2
87144647,7
87158176,2
87161424,18
87162310,18
87174916,2
87176578,1
87186305,1
87187352,10
87191014,1
87191397,1
87209082,6
87214258,23
87226108,1
87228282,1
87237275,2
87254939,2
87259884,7
87271845,1
87273772,9
87285240,2
87292060,4
87293045,3
87302398,6
87309843,2
87319642,1
87338501,1
87338539,2
87338556,1
87338662,1
87340107,2
87340293,1
87342303,1
87344313,1
87347049,1
87349097,2
87357599,5
87357710,1
87360542,1
87374928,1
87381103,2
87410702,1
87421844,1
87426542,4
87431013,1
87439786,20
87441210,18
87444706,12
87445252,1
87449898,7
87468060,2
87469915,1
87496243,2
87500271,5
87529071,2
87534220,13
87539260,7
87547558,4
87550257,2
87551697,11
87560430,2
87574553,1
87603165,1
87633178,1
87633210,1
87634445,1
87641075,2
87642876,1
87649932,25
87659627,95
87664108,4
87675070,32
87675978,1
87700361,2
87711649,4
87715303,12
87721865,8
87725097,1
87727956,7
87730785,2
87743860,13
87745421,23
87746363,1
87754829,3
87760741,3
87772171,2
87777153,3
87782366,1
87797457,1
87833632,2
87834354,5
87849479,13
87859265,4
87867365,2
87872925,2
87886643,30
87890997,1
87891982,97
87895015,1
87914592,3
87939624,1
87943805,2
87946470,1
87962760,2
87975625,272
87993806,3
87994887,141
87999643,3
88002316,1
88003998,40
88005385,2
88022906,3
88031355,3
88033406,2
88039610,4
88047523,1
88052773,1
88052951,2
88053379,2
88055582,1
88069682,1
88075610,2
88084180,1
88090416,1
88101759,1
88104178,2
88112009,1
88121124,1
88132580,1
88139668,2
88140477,1
88143919,1
88144784,2
88150379,3
88162828,18
88175715,2
88178280,2
88187113,15
88191236,1
88195016,6
88195136,3
88207315,1
88217284,1
88219447,2
88219851,2
88224262,3
88224490,6
88227731,1
88234987,2
88236827,1
88242887,1
88288635,1
88355350,1
88361880,2
88384254,1
88387136,3
88393727,1
88396126,1
88397801,1
88402028,2
88402407,1
88402657,1
88403401,2
88415131,1
88416750,2
88421929,1
88449369,2
88449934,2
88453992,1
88459349,2
88466776,2
88491026,44
88492208,1
88495275,1
88497872,16
88501312,4
88502010,7
88507948,1
88525190,3
88544238,2
88544559,2
88544567,2
88544609,2
88544669,2
88548003,2
88553200,1
88559730,2
88559814,1
88567962,5
88597122,2
88598188,30
88603963,4
88605447,2
88606522,3
88614717,2
88617542,3
88618985,11
88640213,16
88652203,4
88664037,3
88664053,4
88664090,8
88664113,5
88669483,12
88669522,1
88671032,1
88671774,1
88681941,2
88683642,8
88694927,1
88703215,1
88709756,151
88714758,2
88730994,1
88732379,2
88734990,1
88744241,1
88759532,13
88763875,1
